source;type;quartile_2022
Journal of the National Comprehensive Cancer Network : JNCCN;journal;Q1
Optica;journal;Q1
Journal of Interactive Marketing;journal;Q1
Advanced Science;journal;Q1
Radiology;journal;Q1
Global Change Biology;journal;Q1
Remote Sensing of Environment;journal;Q1
Qualitative Research in Sport, Exercise and Health;journal;Q1
Communications on Pure and Applied Mathematics;journal;Q1
Current Climate Change Reports;journal;Q1
Proceedings of the National Academy of Sciences of the United States of America;journal;Q1
Brookings Papers on Economic Activity;journal;Q1
Human Reproduction Update;journal;Q1
Journal of Strategic Information Systems;journal;Q1
Acta Mathematica;journal;Q1
Journal of Supply Chain Management;journal;Q1
European Journal of Epidemiology;journal;Q1
Protein Science;journal;Q1
PLoS Biology;journal;Q1
IEEE Transactions on Industrial Informatics;journal;Q1
Clinical Infectious Diseases;journal;Q1
Research Synthesis Methods;journal;Q1
Lancet HIV,The;journal;Q1
Annals of Neurology;journal;Q1
Journal of the Royal Statistical Society. Series B: Statistical Methodology;journal;Q1
IEEE Signal Processing Magazine;journal;Q1
EMBO Molecular Medicine;journal;Q1
Mycosphere;journal;Q1
Ophthalmology;journal;Q1
Journal of Infection;journal;Q1
Annual Review of Pharmacology and Toxicology;journal;Q1
Annual Review of Statistics and Its Application;journal;Q1
International Journal of Research in Marketing;journal;Q1
British Journal of Political Science;journal;Q1
Annual Review of Control, Robotics, and Autonomous Systems;journal;Q1
IEEE Transactions on Communications;journal;Q1
Synthesis Lectures on Artificial Intelligence and Machine Learning;book series;Q1
Materials Horizons;journal;Q1
Acta Crystallographica Section D: Structural Biology;journal;Q1
Kidney International;journal;Q1
Nano Today;journal;Q1
Cold Spring Harbor perspectives in biology;journal;Q1
Annals of Internal Medicine;journal;Q1
Earth-Science Reviews;journal;Q1
Journal of Organizational Behavior;journal;Q1
Journal of Personality and Social Psychology;journal;Q1
MIS Quarterly: Management Information Systems;journal;Q1
Arthritis and Rheumatology;journal;Q1
Journal of Retailing;journal;Q1
Biological Psychiatry;journal;Q1
Comparative Political Studies;journal;Q1
Communication Methods and Measures;journal;Q1
Personnel Psychology;journal;Q1
IEEE Internet of Things Journal;journal;Q1
IEEE Transactions on Sustainable Energy;journal;Q1
Journal of Allergy and Clinical Immunology;journal;Q1
IMF Economic Review;journal;Q1
Immunological Reviews;journal;Q1
IEEE Transactions on Power Systems;journal;Q1
Microbiology and Molecular Biology Reviews;journal;Q1
Microbiome;journal;Q1
Current Opinion in Cell Biology;journal;Q1
Journal of Financial and Quantitative Analysis;journal;Q1
Blood Cancer Journal;journal;Q1
ACM Transactions on Graphics;journal;Q1
GigaScience;journal;Q1
Annual Review of Animal Biosciences;journal;Q1
IEEE Transactions on Systems, Man, and Cybernetics: Systems;journal;Q1
Computers and Education;journal;Q1
Journal of Operations Management;journal;Q1
Educational Psychologist;journal;Q1
European Business Review;journal;Q1
Journal of Cell Biology;journal;Q1
Journal of the American Academy of Child and Adolescent Psychiatry;journal;Q1
Automatica;journal;Q1
Plant Cell;journal;Q1
Research Policy;journal;Q1
Small Methods;journal;Q1
JAMA Surgery;journal;Q1
ISME Journal;journal;Q1
Lancet Healthy Longevity, The;journal;Q1
Journal of Advances in Modeling Earth Systems;journal;Q1
Progress in Human Geography;journal;Q1
European Journal of Political Research;journal;Q1
Cancer Treatment Reviews;journal;Q1
Clinical Microbiology and Infection;journal;Q1
Lancet Planetary Health, The;journal;Q1
Trends in Genetics;journal;Q1
Trends in Cancer;journal;Q1
International Journal of Machine Tools and Manufacture;journal;Q1
Operations Research;journal;Q1
Critical Care;journal;Q1
Biometrika;journal;Q1
Educational Psychology Review;journal;Q1
Chem Catalysis;journal;Q1
Tourism Management;journal;Q1
Cell Death and Differentiation;journal;Q1
EcoMat;journal;Q1
Cancer Immunology Research;journal;Q1
npj Digital Medicine;journal;Q1
Journal of Bioresources and Bioproducts;journal;Q1
Cellular and Molecular Immunology;journal;Q1
Molecular Psychiatry;journal;Q1
Nano Letters;journal;Q1
Digest of Technical Papers - IEEE International Solid-State Circuits Conference;conference and proceedings;-
IEEE Transactions on Fuzzy Systems;journal;Q1
Journal of Extracellular Vesicles;journal;Q1
Nature Food;journal;Q1
Frontiers in Ecology and the Environment;journal;Q1
Human Relations;journal;Q1
Health Affairs;journal;Q1
Global Strategy Journal;journal;Q1
Trends in Microbiology;journal;Q1
Med;journal;Q1
Nature reviews. Rheumatology;journal;Q1
Periodontology 2000;journal;Q1
Autophagy;journal;Q1
Political Behavior;journal;Q1
European Heart Journal;journal;Q1
BMC Medicine;journal;Q1
IEEE Transactions on Neural Networks and Learning Systems;journal;Q1
Annual Review of Materials Research;book series;Q1
Philosophical Review, The;journal;Q1
Annals of Tourism Research;journal;Q1
Molecular Therapy;journal;Q1
Molecular Biology and Evolution;journal;Q1
ACS Materials Letters;journal;Q1
IEEE Transactions on Cognitive Communications and Networking;journal;Q1
Foundations and Trends in Communications and Information Theory;journal;Q1
AVS Quantum Science;journal;Q1
Organizational Behavior and Human Decision Processes;journal;Q1
Journal for ImmunoTherapy of Cancer;journal;Q1
Journal of the American Statistical Association;journal;Q1
Small;journal;Q1
Journal of International Economics;journal;Q1
Experimental and Molecular Medicine;journal;Q1
Annual Review of Phytopathology;journal;Q1
Leukemia;journal;Q1
ILR Review;journal;Q1
International Journal of Computer Vision;journal;Q1
Protein and Cell;journal;Q1
American Psychologist;journal;Q1
Journal of Clinical Epidemiology;journal;Q1
Journal of the European Mathematical Society;journal;Q1
Diabetologia;journal;Q1
Annual Reviews in Control;journal;Q1
IEEE Transactions on Power Electronics;journal;Q1
Cement and Concrete Composites;journal;Q1
Water Research;journal;Q1
Journal of Public Administration Research and Theory;journal;Q1
Journal of Human Resources;journal;Q1
Internet and Higher Education;journal;Q1
Biofuel Research Journal;journal;Q1
Quantitative Economics;journal;Q1
Public Administration Review;journal;Q1
ISPRS Journal of Photogrammetry and Remote Sensing;journal;Q1
npj Quantum Information;journal;Q1
Educational Researcher;journal;Q1
Evolution Letters;journal;Q1
Sports Medicine;journal;Q1
Alzheimer's and Dementia;journal;Q1
Foundations and Trends in Theoretical Computer Science;journal;Q1
JCI insight;journal;Q1
Ecological Monographs;journal;Q1
EMBO Reports;journal;Q1
Persoonia: Molecular Phylogeny and Evolution of Fungi;journal;Q1
Educational Research Review;journal;Q1
Nature Astronomy;journal;Q1
Journal of Public Policy and Marketing;journal;Q1
Proceedings of the Annual ACM Symposium on Theory of Computing;conference and proceedings;-
Quarterly Journal of the Royal Meteorological Society;journal;Q1
Information Systems Research;journal;Q1
Engineered Regeneration;journal;Q1
Journal of Travel Research;journal;Q1
EMS Surveys in Mathematical Sciences;journal;Q1
FEMS Microbiology Reviews;journal;Q1
Journal of World Business;journal;Q1
Molecular Aspects of Medicine;journal;Q1
Journal of Economic Growth;journal;Q1
Renewable and Sustainable Energy Reviews;journal;Q1
Journal of Product Innovation Management;journal;Q1
IEEE/CAA Journal of Automatica Sinica;journal;Q1
Duke Mathematical Journal;journal;Q1
Circulation: Heart Failure;journal;Q1
Trends in Plant Science;journal;Q1
Current Opinion in Structural Biology;journal;Q1
Current Opinion in Plant Biology;journal;Q1
International Materials Reviews;journal;Q1
Transportation Research Part B: Methodological;journal;Q1
Surface Science Reports;journal;Q1
RAND Journal of Economics;journal;Q1
npj Flexible Electronics;journal;Q1
npj Vaccines;journal;Q1
Medical Image Analysis;journal;Q1
IEEE Transactions on Industrial Electronics;journal;Q1
Communications in Transportation Research;journal;Q1
Contemporary Educational Psychology;journal;Q1
Systematic Biology;journal;Q1
Journal of Neurology, Neurosurgery and Psychiatry;journal;Q1
Strategic Entrepreneurship Journal;journal;Q1
Lancet Regional Health - Americas, The;journal;Q1
Progress in Lipid Research;journal;Q1
Journal of Materials Chemistry A;journal;Q1
Laser and Photonics Reviews;journal;Q1
Journal of Development Economics;journal;Q1
Journal of Business Logistics;journal;Q1
Thorax;journal;Q1
Foundations and Trends in Information Retrieval;journal;Q1
"Environmental Science &amp; Technology";journal;Q1
Production and Operations Management;journal;Q1
Physical Review Letters;journal;Q1
Review of Environmental Economics and Policy;journal;Q1
Seminars in Cancer Biology;journal;Q1
Stata Journal;journal;Q1
Human Resource Management Review;journal;Q1
Health Psychology Review;journal;Q1
Annals of Probability;journal;Q1
Green Synthesis and Catalysis;journal;Q1
IEEE Wireless Communications Letters;journal;Q1
Astrophysical Journal, Supplement Series;journal;Q1
Journal of Thrombosis and Haemostasis;journal;Q1
Conservation Letters;journal;Q1
Journal of the Association of Environmental and Resource Economists;journal;Q1
Journal of Urban Economics;journal;Q1
Environment international;journal;Q1
IUCrJ;journal;Q1
Blood advances;journal;Q1
American Journal of Obstetrics and Gynecology;journal;Q1
Journal of Management Information Systems;journal;Q1
Pharmacology and Therapeutics;journal;Q1
Political Communication;journal;Q1
Journal of Advanced Ceramics;journal;Q1
Autism in Adulthood;journal;Q1
Sleep Medicine Reviews;journal;Q1
Emerging Infectious Diseases;journal;Q1
Journal of Politics;journal;Q1
New Phytologist;journal;Q1
IEEE Journal of Solid-State Circuits;journal;Q1
Archive for Rational Mechanics and Analysis;journal;Q1
Energy Economics;journal;Q1
Brain, Behavior, and Immunity;journal;Q1
CCS Chemistry;journal;Q1
Current Directions in Psychological Science;journal;Q1
International Journal of Production Economics;journal;Q1
Current Opinion in Neurobiology;journal;Q1
Journal of Child Psychology and Psychiatry and Allied Disciplines;journal;Q1
Geometric and Functional Analysis;journal;Q1
Explorations in Economic History;journal;Q1
Structural Equation Modeling;journal;Q1
Contemporary Accounting Research;journal;Q1
Ageing Research Reviews;journal;Q1
Transportation Research, Part E: Logistics and Transportation Review;journal;Q1
SIAM Review;journal;Q1
Journal of Internal Medicine;journal;Q1
Journal of Population Economics;journal;Q1
Circulation: Arrhythmia and Electrophysiology;journal;Q1
Plant Communications;journal;Q1
Review of Research in Education;journal;Q1
Cancer Research;journal;Q1
Advanced Drug Delivery Reviews;journal;Q1
Journal of Consumer Psychology;journal;Q1
npj Computational Materials;journal;Q1
International Journal of Production Research;journal;Q1
Trends in Molecular Medicine;journal;Q1
National Science Review;journal;Q1
Wiley Interdisciplinary Reviews: Climate Change;journal;Q1
Organizational Psychology Review;journal;Q1
American Journal of Kidney Diseases;journal;Q1
Circulation. Genomic and precision medicine;journal;Q1
Journal of Sustainable Tourism;journal;Q1
Business and Society;journal;Q1
Trends in Pharmacological Sciences;journal;Q1
Computer-Aided Civil and Infrastructure Engineering;journal;Q1
Liver Cancer;journal;Q1
Journal of the ACM;journal;Q1
Journal of Differential Geometry;journal;Q1
Annals of Surgery;journal;Q1
IEEE Open Journal of the Communications Society;journal;Q1
Global Environmental Change;journal;Q1
Bioinformatics;journal;Q1
Soil Biology and Biochemistry;journal;Q1
Annales Scientifiques de l'Ecole Normale Superieure;journal;Q1
Clinical Gastroenterology and Hepatology;journal;Q1
International Journal of Hospitality Management;journal;Q1
Annual Review of Biomedical Engineering;journal;Q1
Acta Materialia;journal;Q1
Journal of Vocational Behavior;journal;Q1
Opto-Electronic Advances;journal;Q1
Environmental Science and Technology Letters;journal;Q1
JACC: Cardiovascular Interventions;journal;Q1
Applied Energy;journal;Q1
JHEP Reports;journal;Q1
Wiley interdisciplinary reviews. RNA;journal;Q1
Science Bulletin;journal;Q1
American Journal of Hematology;journal;Q1
eBioMedicine;journal;Q1
Critical Reviews in Environmental Science and Technology;journal;Q1
European Journal of Cancer;journal;Q1
Transport Reviews;journal;Q1
Supply Chain Management;journal;Q1
Journal of Business Research;journal;Q1
Wiley Interdisciplinary Reviews: Computational Molecular Science;journal;Q1
Metabolism: Clinical and Experimental;journal;Q1
American Journal of Sociology;journal;Q1
Transportation Research Part C: Emerging Technologies;journal;Q1
Progress in Aerospace Sciences;journal;Q1
Robotics and Computer-Integrated Manufacturing;journal;Q1
Array;journal;Q1
Proceedings - IEEE INFOCOM;conference and proceedings;-
Journal of Service Management;journal;Q1
Journal of Economic Theory;journal;Q1
IEEE Transactions on Medical Imaging;journal;Q1
Business Strategy and the Environment;journal;Q1
npj Climate and Atmospheric Science;journal;Q1
Chemistry of Materials;journal;Q1
Genomics, Proteomics and Bioinformatics;journal;Q1
European Journal of Personality;journal;Q1
BMJ, The;journal;Q1
British Journal of Cancer;journal;Q1
Journal of Crohn's and Colitis;journal;Q1
Pediatrics;journal;Q1
Memoirs of the American Mathematical Society;journal;Q1
Implementation Science;journal;Q1
Soft Robotics;journal;Q1
International Journal of Management Reviews;journal;Q1
Psychological Science;journal;Q1
Critical Reviews in Biochemistry and Molecular Biology;journal;Q1
Long Range Planning;journal;Q1
Journal of Anxiety Disorders;journal;Q1
Limnology And Oceanography Letters;journal;Q1
Child Development Perspectives;journal;Q1
International Journal of Plasticity;journal;Q1
Journal of Photochemistry and Photobiology C: Photochemistry Reviews;journal;Q1
Journal of Research in Interactive Marketing;journal;Q1
Science Signaling;journal;Q1
Milbank Quarterly;journal;Q1
Transportation Science;journal;Q1
New Astronomy Reviews;journal;Q1
Foundations and Trends in Finance;journal;Q1
Analysis and PDE;journal;Q1
Emerging Microbes and Infections;journal;Q1
International Journal of Epidemiology;journal;Q1
Reviews in Physics;journal;Q1
Molecular Metabolism;journal;Q1
Current Biology;journal;Q1
European Review of Social Psychology;journal;Q1
Methods in Ecology and Evolution;journal;Q1
Blood Reviews;journal;Q1
Chemical Engineering Journal;journal;Q1
IEEE Transactions on Vehicular Technology;journal;Q1
Journal des Mathematiques Pures et Appliquees;journal;Q1
Psychological Review;journal;Q1
Arteriosclerosis, Thrombosis, and Vascular Biology;journal;Q1
Mucosal Immunology;journal;Q1
Alimentary Pharmacology and Therapeutics;journal;Q1
Critical Care Medicine;journal;Q1
Communication Research;journal;Q1
American Journal of Transplantation;journal;Q1
Plant Biotechnology Journal;journal;Q1
Space Science Reviews;journal;Q1
Wiley Interdisciplinary Reviews: Developmental Biology;journal;Q1
Materials Today Physics;journal;Q1
JAMA Dermatology;journal;Q1
Sociological Science;journal;Q1
Chemical Science;journal;Q1
Hypertension;journal;Q1
Journal of Energy Chemistry;journal;Q1
Behavior Research Methods;journal;Q1
Information Systems Journal;journal;Q1
Medicinal Research Reviews;journal;Q1
Stroke;journal;Q1
Genetics in Medicine;journal;Q1
Journal of Manufacturing Systems;journal;Q1
Aging Cell;journal;Q1
Bioactive Materials;journal;Q1
Nous;journal;Q1
European Stroke Journal;journal;Q1
Cancer;journal;Q1
Allergy: European Journal of Allergy and Clinical Immunology;journal;Q1
Small Business Economics;journal;Q1
Quarterly Reviews of Biophysics;journal;Q1
International Journal of Robotics Research;journal;Q1
